dest,symbol,name,address,origin,sourceAddress,coingeckoId,logo,serumV3Usdc,serumV3Usdt
sol,LINK,Chainlink (Wormhole),2wpTofQ8SkACrkZWrZDjXPitYa8AwWgX8AfxdeBRRVLX,eth,0x514910771af9ca656af840dff83e8264ecf986ca,chainlink,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/2wpTofQ8SkACrkZWrZDjXPitYa8AwWgX8AfxdeBRRVLX/logo.png,FJMjxMCiDKn16TLhXUdEbVDH5wC6k9EHYJTcrH6NcbDE,Gr2KmhK7Upr4uW56B1QQrJuhhgmot6zAHJeZALTMStiX
sol,MANA,Decentraland (Wormhole),7dgHoN8wBZCc5wbnQ2C47TDnBMAxG4Q5L3KjP67z8kNi,eth,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,decentraland,https://assets.coingecko.com/coins/images/878/thumb/decentraland-mana.png,,
sol,MIMet,Magic Internet Money (Wormhole from Ethereum),HRQke5DKdDo3jV7wnomyiM8AA3EzkVnxMDdo2FQ5XUe1,eth,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,magic-internet-money,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/HRQke5DKdDo3jV7wnomyiM8AA3EzkVnxMDdo2FQ5XUe1/logo.png,,
sol,PAXG,Paxos Gold (Wormhole),C6oFsE8nXRDThzrMEQ5SxaNFGKoyyfWDDVPw37JKvPTe,eth,0x45804880de22913dafe09f4980848ece6ecbaf78,pax-gold,,BeyB6W2iNsH9qSfb7icLTmSPDu8oUGkarMZed4Unrnsr,9SQcpBFAs6ZiLAGUC9azYCN1kv89uTRmFR83sX1FTeh4
sol,RSR,Reserve Rights (Wormhole),DkbE8U4gSRuGHcVMA1LwyZPYUjYbfEbjW8DMR3iSXBzr,eth,0x8762db106B2c2A0bccB3A80d1Ed41273552616E8,reserve-rights-token,,GqgkxEswUwHBntmzb5GpUhKrVpJhzreSruZycuJwdNwB,2j2or38X2FUbpkK4gkgvjDtqN3ibkKw3v5yn7o2gHqPc
sol,SAND,The Sandbox (Wormhole),49c7WuCZkQgc3M4qH8WuEUNXfgwupZf1xqWkDQ7gjRGt,eth,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,the-sandbox,https://gemini.com/images/currencies/icons/default/sand.svg,,
sol,SHIB,Shiba Inu (Wormhole),CiKu4eHsVrc1eueVQeHn7qhXTcVu95gSQmBpX4utjL9z,eth,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,shiba-inu,https://etherscan.io/token/images/shibatoken_32.png,,
sol,SRMet,Serum (Wormhole from Ethereum),xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG,eth,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,serum,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG/logo.png,,
sol,SUSHI,SushiToken (Wormhole),ChVzxWRmrTeSgwd3Ui3UumcN8KX7VK3WaD4KGeSKpypj,eth,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,sushi,https://etherscan.io/token/images/sushitoken_32.png,3uWVMWu7cwMnYMAAdtsZNwaaqeeeZHARGZwcExnQiFay,T3aC6qcPAJtX1gqkckfSxBPdPWziz5fLYRt5Dz3Nafq
sol,UNI,Uniswap (Wormhole),8FU95xFJhUUkyyCLU13HSzDLs7oC4QZdXQHL6SCeab36,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,uniswap,https://etherscan.io/token/images/uniswap_32.png,B7b5rjQuqQCuGqmUBWmcCTqaL3Z1462mo4NArqty6QFR,FrKM6kJtAjXknHPEpkrQtJSXZwUxV5dq26wDpc4YjQST
